optID,contMultNum,contractStatus,contractType,currencyCD,deliDate,delistDate,exchangeCD,exerDate,expDate,expMonth,expYear,lastTradeDate,listDate,secID,secShortName,strikePrice,tickerSymbol,varExchangeCD,varSecID,varShortName,varTicker,varType
10000001,10000,DE,CO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-09,510050C1503M02200.XSHG,50ETF购3月2200,2.2,510050C1503M02200,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000002,10000,DE,CO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-09,510050C1503M02250.XSHG,50ETF购3月2250,2.25,510050C1503M02250,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000003,10000,DE,CO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-09,510050C1503M02300.XSHG,50ETF购3月2300,2.3,510050C1503M02300,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000004,10000,DE,CO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-09,510050C1503M02350.XSHG,50ETF购3月2350,2.35,510050C1503M02350,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000005,10000,DE,CO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-09,510050C1503M02400.XSHG,50ETF购3月2400,2.4,510050C1503M02400,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000006,10000,DE,PO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-09,510050P1503M02200.XSHG,50ETF沽3月2200,2.2,510050P1503M02200,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000007,10000,DE,PO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-09,510050P1503M02250.XSHG,50ETF沽3月2250,2.25,510050P1503M02250,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000008,10000,DE,PO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-09,510050P1503M02300.XSHG,50ETF沽3月2300,2.3,510050P1503M02300,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000009,10000,DE,PO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-09,510050P1503M02350.XSHG,50ETF沽3月2350,2.35,510050P1503M02350,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000010,10000,DE,PO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-02-09,510050P1503M02400.XSHG,50ETF沽3月2400,2.4,510050P1503M02400,XSHG,510050.XSHG,华夏上证50ETF,510050,F
